,pair,p1,p2,OR,OR_lci,OR_uci,OR_p-value_original,Q-test,Q-test p-value,p_bh_heatmap,p_bh_scatter,within_domain
1391,Retinal detachments and breaks Migraine,Retinal detachments and breaks,Migraine,1.33,1.28,1.38,<0.0001,11.02,<0.0001,<0.0001,<0.0001,0
1392,Nonrheumatic valve disease Cataract,Nonrheumatic valve disease,Cataract,1.33,1.31,1.34,<0.0001,87.58,<0.0001,<0.0001,<0.0001,0
1393,Atrial fibrillation Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes),Atrial fibrillation,Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes),1.33,1.31,1.35,<0.0001,68.25,<0.0001,<0.0001,<0.0001,0
1394,Polymyalgia Rheumatica Psoriasis,Polymyalgia Rheumatica,Psoriasis,1.33,1.29,1.37,<0.0001,0.69,0.41,<0.0001,<0.0001,0
1395,Transient ischaemic attack Diabetes type 2,Transient ischaemic attack,Diabetes type 2,1.33,1.31,1.35,<0.0001,47.51,<0.0001,<0.0001,<0.0001,0
1396,Ischaemic stroke and TIA Insomnia,Ischaemic stroke and TIA,Insomnia,1.33,1.31,1.35,<0.0001,45.96,<0.0001,<0.0001,<0.0001,0
1397,Diverticular disease of intestine (acute and chronic) Peripheral arterial disease,Diverticular disease of intestine (acute and chronic),Peripheral arterial disease,1.33,1.31,1.35,<0.0001,48.7,<0.0001,<0.0001,<0.0001,0
1398,Rheumatoid Arthritis Coronary Heart Disease,Rheumatoid Arthritis,Coronary Heart Disease,1.33,1.3,1.36,<0.0001,4.94,0.03,<0.0001,<0.0001,0
1399,Spondylolisthesis Transient ischaemic attack,Spondylolisthesis,Transient ischaemic attack,1.33,1.26,1.4,<0.0001,0,0.95,<0.0001,<0.0001,0
1400,Tendon disorders Peptic ulcer disease,Tendon disorders,Peptic ulcer disease,1.33,1.31,1.35,<0.0001,2.39,0.12,<0.0001,<0.0001,0
1401,Urolithiasis Chronic sinusitis,Urolithiasis,Chronic sinusitis,1.33,1.3,1.37,<0.0001,0.07,0.79,<0.0001,<0.0001,0
1402,Vitamin B12 deficiency anaemia Gastro-oesophageal reflux disease,Vitamin B12 deficiency anaemia,Gastro-oesophageal reflux disease,1.33,1.31,1.35,<0.0001,86.37,<0.0001,<0.0001,<0.0001,0
1403,Enthesopathies of the upper body Urolithiasis,Enthesopathies of the upper body,Urolithiasis,1.33,1.32,1.35,<0.0001,2.88,0.09,<0.0001,<0.0001,0
1404,Essential tremor Tinnitus,Essential tremor,Tinnitus,1.33,1.29,1.38,<0.0001,0.87,0.35,<0.0001,<0.0001,0
1405,"Schizophrenia, schizotypal and delusional disorders Obesity","Schizophrenia, schizotypal and delusional disorders",Obesity,1.33,1.29,1.37,<0.0001,19.54,<0.0001,<0.0001,<0.0001,0
1406,Anxiety disorders Hearing loss,Anxiety disorders,Hearing loss,1.33,1.33,1.34,<0.0001,63.42,<0.0001,<0.0001,<0.0001,0
1407,"Vitamin B12 deficiency anaemia Schizophrenia, schizotypal and delusional disorders",Vitamin B12 deficiency anaemia,"Schizophrenia, schizotypal and delusional disorders",1.33,1.26,1.41,<0.0001,0.44,0.51,<0.0001,<0.0001,0
1408,Hearing loss Scoliosis,Hearing loss,Scoliosis,1.33,1.31,1.36,<0.0001,1.27,0.26,<0.0001,<0.0001,0
1409,Coronary Heart Disease Enthesopathies of the shoulder,Coronary Heart Disease,Enthesopathies of the shoulder,1.34,1.32,1.35,<0.0001,244.51,<0.0001,<0.0001,<0.0001,0
1410,Scoliosis Anxiety disorders,Scoliosis,Anxiety disorders,1.34,1.31,1.36,<0.0001,23.45,<0.0001,<0.0001,<0.0001,0
1411,Iron deficiency anaemia Spondylolisthesis,Iron deficiency anaemia,Spondylolisthesis,1.34,1.29,1.39,<0.0001,20.61,<0.0001,<0.0001,<0.0001,0
1412,Rheumatoid Arthritis Nonrheumatic valve disease,Rheumatoid Arthritis,Nonrheumatic valve disease,1.34,1.29,1.38,<0.0001,8.13,<0.0001,<0.0001,<0.0001,0
1413,Cholelithiasis Bursitis,Cholelithiasis,Bursitis,1.34,1.32,1.36,<0.0001,39.53,<0.0001,<0.0001,<0.0001,0
1414,Fibromatoses Primary Malignancy_Other Skin and subcutaneous tissue,Fibromatoses,Primary Malignancy_Other Skin and subcutaneous tissue,1.34,1.31,1.36,<0.0001,10.84,<0.0001,<0.0001,<0.0001,0
1415,Hypertension Urolithiasis,Hypertension,Urolithiasis,1.34,1.32,1.35,<0.0001,69.52,<0.0001,<0.0001,<0.0001,0
1416,Urinary Incontinence Raynaud's syndrome,Urinary Incontinence,Raynaud's syndrome,1.34,1.3,1.38,<0.0001,52.5,<0.0001,<0.0001,<0.0001,0
1417,Cholelithiasis Enthesopathies of the upper body,Cholelithiasis,Enthesopathies of the upper body,1.34,1.33,1.35,<0.0001,161.47,<0.0001,<0.0001,<0.0001,0
1418,Erectile dysfunction Tinnitus,Erectile dysfunction,Tinnitus,1.34,1.32,1.36,<0.0001,2.47,0.12,<0.0001,<0.0001,0
1419,Cataract Essential tremor,Cataract,Essential tremor,1.34,1.31,1.37,<0.0001,0.11,0.74,<0.0001,<0.0001,0
1420,Ulcerative colitis Asthma,Ulcerative colitis,Asthma,1.34,1.3,1.39,<0.0001,0.04,0.84,<0.0001,<0.0001,0
1421,Peptic ulcer disease Sleep apnoea,Peptic ulcer disease,Sleep apnoea,1.34,1.3,1.38,<0.0001,75.2,<0.0001,<0.0001,<0.0001,0
1422,Anxiety disorders Enthesopathies of the shoulder,Anxiety disorders,Enthesopathies of the shoulder,1.34,1.33,1.35,<0.0001,11.92,<0.0001,<0.0001,<0.0001,0
1423,Peptic ulcer disease Carpal tunnel syndrome,Peptic ulcer disease,Carpal tunnel syndrome,1.34,1.31,1.37,<0.0001,2.46,0.12,<0.0001,<0.0001,0
1424,Bursitis Thromboembolic,Bursitis,Thromboembolic,1.34,1.32,1.36,<0.0001,14.57,<0.0001,<0.0001,<0.0001,0
1425,Iron deficiency anaemia Osteoporosis,Iron deficiency anaemia,Osteoporosis,1.34,1.32,1.36,<0.0001,296.92,<0.0001,<0.0001,<0.0001,0
1426,Thromboembolic Peptic ulcer disease,Thromboembolic,Peptic ulcer disease,1.34,1.31,1.37,<0.0001,23.64,<0.0001,<0.0001,<0.0001,0
1427,Abdominal aortic aneurysm Insomnia,Abdominal aortic aneurysm,Insomnia,1.34,1.29,1.39,<0.0001,0.21,0.65,<0.0001,<0.0001,0
1428,Vitamin B12 deficiency anaemia Raynaud's syndrome,Vitamin B12 deficiency anaemia,Raynaud's syndrome,1.34,1.29,1.39,<0.0001,3.5,0.06,<0.0001,<0.0001,0
1429,COPD Nonrheumatic valve disease,COPD,Nonrheumatic valve disease,1.34,1.32,1.36,<0.0001,13.3,<0.0001,<0.0001,<0.0001,0
1430,Cholelithiasis Anxiety disorders,Cholelithiasis,Anxiety disorders,1.34,1.33,1.36,<0.0001,167.06,<0.0001,<0.0001,<0.0001,0
1431,Enthesopathies of the shoulder Obesity,Enthesopathies of the shoulder,Obesity,1.34,1.33,1.35,<0.0001,102.08,<0.0001,<0.0001,<0.0001,0
1432,Urolithiasis Peptic ulcer disease,Urolithiasis,Peptic ulcer disease,1.34,1.31,1.38,<0.0001,25.34,<0.0001,<0.0001,<0.0001,0
1433,Cholelithiasis Nonrheumatic valve disease,Cholelithiasis,Nonrheumatic valve disease,1.34,1.32,1.37,<0.0001,28.85,<0.0001,<0.0001,<0.0001,0
1434,Alcohol Problems Urinary Incontinence,Alcohol Problems,Urinary Incontinence,1.34,1.32,1.37,<0.0001,135.87,<0.0001,<0.0001,<0.0001,0
1435,Erectile dysfunction Cholelithiasis,Erectile dysfunction,Cholelithiasis,1.34,1.32,1.37,<0.0001,4.63,0.03,<0.0001,<0.0001,0
1436,Hearing loss Fibromatoses,Hearing loss,Fibromatoses,1.34,1.32,1.36,<0.0001,25.13,<0.0001,<0.0001,<0.0001,0
1437,Spondylolisthesis Retinal detachments and breaks,Spondylolisthesis,Retinal detachments and breaks,1.34,1.23,1.47,<0.0001,1.4,0.24,<0.0001,<0.0001,0
1438,Urinary Incontinence Enthesopathies of the shoulder,Urinary Incontinence,Enthesopathies of the shoulder,1.34,1.33,1.36,<0.0001,1235.49,<0.0001,<0.0001,<0.0001,0
1439,Anxiety disorders Asthma,Anxiety disorders,Asthma,1.34,1.33,1.36,<0.0001,64.19,<0.0001,<0.0001,<0.0001,0
1440,Bursitis Anxiety disorders,Bursitis,Anxiety disorders,1.34,1.33,1.36,<0.0001,9.87,<0.0001,<0.0001,<0.0001,0
1441,Polymyalgia Rheumatica Nonrheumatic valve disease,Polymyalgia Rheumatica,Nonrheumatic valve disease,1.34,1.31,1.38,<0.0001,11.72,<0.0001,<0.0001,<0.0001,0
1442,Anxiety disorders Ischaemic stroke and TIA,Anxiety disorders,Ischaemic stroke and TIA,1.34,1.33,1.36,<0.0001,59.9,<0.0001,<0.0001,<0.0001,0
1443,Tendon disorders Cholelithiasis,Tendon disorders,Cholelithiasis,1.34,1.33,1.36,<0.0001,65.81,<0.0001,<0.0001,<0.0001,0
1444,Primary Malignancy_Other Skin and subcutaneous tissue Hyperplasia of prostate,Primary Malignancy_Other Skin and subcutaneous tissue,Hyperplasia of prostate,1.34,1.33,1.36,<0.0001,21.58,<0.0001,<0.0001,<0.0001,0
1445,Cholelithiasis Female genital prolapse,Cholelithiasis,Female genital prolapse,1.34,1.32,1.37,<0.0001,22.87,<0.0001,<0.0001,<0.0001,0
1446,Cataract Enthesopathies of the upper body,Cataract,Enthesopathies of the upper body,1.35,1.34,1.35,<0.0001,114.67,<0.0001,<0.0001,<0.0001,0
1447,Primary Malignancy_Bladder Peptic ulcer disease,Primary Malignancy_Bladder,Peptic ulcer disease,1.35,1.29,1.4,<0.0001,0.51,0.47,<0.0001,<0.0001,0
1448,Polymyalgia Rheumatica Peripheral arterial disease,Polymyalgia Rheumatica,Peripheral arterial disease,1.35,1.3,1.39,<0.0001,0.17,0.68,<0.0001,<0.0001,0
1449,Tendon disorders Urolithiasis,Tendon disorders,Urolithiasis,1.35,1.33,1.37,<0.0001,0.08,0.78,<0.0001,<0.0001,0
1450,Bursitis Depression,Bursitis,Depression,1.35,1.34,1.36,<0.0001,42.71,<0.0001,<0.0001,<0.0001,0
1451,Carpal tunnel syndrome Peripheral arterial disease,Carpal tunnel syndrome,Peripheral arterial disease,1.35,1.32,1.38,<0.0001,7.85,0.01,<0.0001,<0.0001,0
1452,Vitamin B12 deficiency anaemia Transient ischaemic attack,Vitamin B12 deficiency anaemia,Transient ischaemic attack,1.35,1.32,1.38,<0.0001,0.79,0.37,<0.0001,<0.0001,0
1453,Depression Hypothyroidism (without hyper),Depression,Hypothyroidism (without hyper),1.35,1.34,1.36,<0.0001,102.19,<0.0001,<0.0001,<0.0001,0
1454,Raynaud's syndrome Erectile dysfunction,Raynaud's syndrome,Erectile dysfunction,1.35,1.3,1.4,<0.0001,0.69,0.41,<0.0001,<0.0001,0
1455,Cataract Hearing loss,Cataract,Hearing loss,1.35,1.34,1.36,<0.0001,47.47,<0.0001,<0.0001,<0.0001,0
1456,Vitamin B12 deficiency anaemia Urolithiasis,Vitamin B12 deficiency anaemia,Urolithiasis,1.35,1.31,1.39,<0.0001,43.86,<0.0001,<0.0001,<0.0001,0
1457,Osteoarthritis (excl spine) Nonrheumatic valve disease,Osteoarthritis (excl spine),Nonrheumatic valve disease,1.35,1.34,1.36,<0.0001,86.83,<0.0001,<0.0001,<0.0001,0
1458,Tinnitus Female genital prolapse,Tinnitus,Female genital prolapse,1.35,1.33,1.37,<0.0001,1.82,0.18,<0.0001,<0.0001,0
1459,Rheumatoid Arthritis Diverticular disease of intestine (acute and chronic),Rheumatoid Arthritis,Diverticular disease of intestine (acute and chronic),1.35,1.32,1.38,<0.0001,17.52,<0.0001,<0.0001,<0.0001,0
1460,Migraine Asthma,Migraine,Asthma,1.35,1.33,1.37,<0.0001,18.3,<0.0001,<0.0001,<0.0001,0
1461,Enthesopathies of the lower body Anxiety disorders,Enthesopathies of the lower body,Anxiety disorders,1.35,1.34,1.36,<0.0001,37.45,<0.0001,<0.0001,<0.0001,0
1462,Psoriasis Gout,Psoriasis,Gout,1.35,1.33,1.38,<0.0001,16.5,<0.0001,<0.0001,<0.0001,0
1463,Iron deficiency anaemia Carpal tunnel syndrome,Iron deficiency anaemia,Carpal tunnel syndrome,1.35,1.33,1.37,<0.0001,24.37,<0.0001,<0.0001,<0.0001,0
1464,Tinnitus Scoliosis,Tinnitus,Scoliosis,1.35,1.31,1.39,<0.0001,0.04,0.83,<0.0001,<0.0001,0
1465,Intervertebral disc disorders Hearing loss,Intervertebral disc disorders,Hearing loss,1.35,1.34,1.37,<0.0001,15.21,<0.0001,<0.0001,<0.0001,0
1466,Ulcerative colitis Primary Malignancy_Colorectal,Ulcerative colitis,Primary Malignancy_Colorectal,1.35,1.26,1.46,<0.0001,9.35,<0.0001,<0.0001,<0.0001,0
1467,Gout Erectile dysfunction,Gout,Erectile dysfunction,1.35,1.34,1.37,<0.0001,35.06,<0.0001,<0.0001,<0.0001,0
1468,Rheumatoid Arthritis Abdominal aortic aneurysm,Rheumatoid Arthritis,Abdominal aortic aneurysm,1.35,1.24,1.48,<0.0001,0.03,0.87,<0.0001,<0.0001,0
1469,Atrial fibrillation Cholelithiasis,Atrial fibrillation,Cholelithiasis,1.35,1.34,1.37,<0.0001,13.87,<0.0001,<0.0001,<0.0001,0
1470,Scoliosis Peptic ulcer disease,Scoliosis,Peptic ulcer disease,1.35,1.3,1.41,<0.0001,8.57,<0.0001,<0.0001,<0.0001,0
1471,Scoliosis Hyperplasia of prostate,Scoliosis,Hyperplasia of prostate,1.35,1.31,1.4,<0.0001,0.95,0.33,<0.0001,<0.0001,0
1472,Fibromatoses Tinnitus,Fibromatoses,Tinnitus,1.36,1.33,1.38,<0.0001,1.8,0.18,<0.0001,<0.0001,0
1473,Allergic and chronic rhinitis Scoliosis,Allergic and chronic rhinitis,Scoliosis,1.36,1.32,1.39,<0.0001,0.5,0.48,<0.0001,<0.0001,0
1474,Ischaemic stroke and TIA Vitamin B12 deficiency anaemia,Ischaemic stroke and TIA,Vitamin B12 deficiency anaemia,1.36,1.33,1.38,<0.0001,0.65,0.42,<0.0001,<0.0001,0
1475,Tendon disorders Asthma,Tendon disorders,Asthma,1.36,1.34,1.37,<0.0001,35.62,<0.0001,<0.0001,<0.0001,0
1476,Intervertebral disc disorders Asthma,Intervertebral disc disorders,Asthma,1.36,1.34,1.37,<0.0001,10.78,<0.0001,<0.0001,<0.0001,0
1477,Urinary Incontinence Allergic and chronic rhinitis,Urinary Incontinence,Allergic and chronic rhinitis,1.36,1.34,1.37,<0.0001,1429.39,<0.0001,<0.0001,<0.0001,0
1478,Raynaud's syndrome COPD,Raynaud's syndrome,COPD,1.36,1.32,1.4,<0.0001,0.63,0.43,<0.0001,<0.0001,0
1479,Fibromyalgia Diabetes type 2,Fibromyalgia,Diabetes type 2,1.36,1.33,1.39,<0.0001,73.78,<0.0001,<0.0001,<0.0001,0
1480,Peripheral arterial disease Obesity,Peripheral arterial disease,Obesity,1.36,1.34,1.38,<0.0001,157.86,<0.0001,<0.0001,<0.0001,0
1481,Essential tremor Allergic and chronic rhinitis,Essential tremor,Allergic and chronic rhinitis,1.36,1.32,1.4,<0.0001,16.58,<0.0001,<0.0001,<0.0001,0
1482,Thromboembolic Spondylolisthesis,Thromboembolic,Spondylolisthesis,1.36,1.29,1.43,<0.0001,5.86,0.02,<0.0001,<0.0001,0
1483,Urolithiasis Gastro-oesophageal reflux disease,Urolithiasis,Gastro-oesophageal reflux disease,1.36,1.34,1.38,<0.0001,90.06,<0.0001,<0.0001,<0.0001,0
1484,Enthesopathies of the shoulder Asthma,Enthesopathies of the shoulder,Asthma,1.36,1.35,1.37,<0.0001,0.63,0.43,<0.0001,<0.0001,0
1485,Enthesopathies of the lower body Asthma,Enthesopathies of the lower body,Asthma,1.36,1.34,1.37,<0.0001,13.84,<0.0001,<0.0001,<0.0001,0
1486,Alcohol Problems Osteoporosis,Alcohol Problems,Osteoporosis,1.36,1.33,1.38,<0.0001,28.35,<0.0001,<0.0001,<0.0001,0
1487,Iron deficiency anaemia Spondylosis,Iron deficiency anaemia,Spondylosis,1.36,1.34,1.38,<0.0001,208.54,<0.0001,<0.0001,<0.0001,0
1488,Gastro-oesophageal reflux disease Transient ischaemic attack,Gastro-oesophageal reflux disease,Transient ischaemic attack,1.36,1.34,1.38,<0.0001,29.75,<0.0001,<0.0001,<0.0001,0
1489,Vitamin B12 deficiency anaemia Insomnia,Vitamin B12 deficiency anaemia,Insomnia,1.36,1.34,1.38,<0.0001,57.72,<0.0001,<0.0001,<0.0001,0
1490,Spondylosis Ischaemic stroke and TIA,Spondylosis,Ischaemic stroke and TIA,1.36,1.34,1.38,<0.0001,66.56,<0.0001,<0.0001,<0.0001,0
1491,Insomnia Peripheral arterial disease,Insomnia,Peripheral arterial disease,1.36,1.34,1.38,<0.0001,151.42,<0.0001,<0.0001,<0.0001,0
1492,Hearing loss Insomnia,Hearing loss,Insomnia,1.36,1.35,1.37,<0.0001,587.39,<0.0001,<0.0001,<0.0001,0
1493,COPD Cataract,COPD,Cataract,1.36,1.35,1.37,<0.0001,23.39,<0.0001,<0.0001,<0.0001,0
1494,Heart failure Hypothyroidism (without hyper),Heart failure,Hypothyroidism (without hyper),1.36,1.34,1.38,<0.0001,69.35,<0.0001,<0.0001,<0.0001,0
1495,Tinnitus Spondylolisthesis,Tinnitus,Spondylolisthesis,1.36,1.31,1.41,<0.0001,4.11,0.04,<0.0001,<0.0001,0
1496,Cataract Enthesopathies of the shoulder,Cataract,Enthesopathies of the shoulder,1.36,1.35,1.37,<0.0001,53.63,<0.0001,<0.0001,<0.0001,0
1497,Spondylosis Cataract,Spondylosis,Cataract,1.36,1.35,1.37,<0.0001,0.01,0.93,<0.0001,<0.0001,0
1498,Intervertebral disc disorders Coronary Heart Disease,Intervertebral disc disorders,Coronary Heart Disease,1.36,1.35,1.38,<0.0001,56.25,<0.0001,<0.0001,<0.0001,0
1499,Essential tremor Bursitis,Essential tremor,Bursitis,1.36,1.31,1.41,<0.0001,1.48,0.22,<0.0001,<0.0001,0
1500,Peptic ulcer disease Urinary Incontinence,Peptic ulcer disease,Urinary Incontinence,1.36,1.34,1.39,<0.0001,126.52,<0.0001,<0.0001,<0.0001,0
1501,Essential tremor Spondylolisthesis,Essential tremor,Spondylolisthesis,1.36,1.26,1.48,<0.0001,1.62,0.2,<0.0001,<0.0001,0
1502,Essential tremor Hearing loss,Essential tremor,Hearing loss,1.36,1.33,1.4,<0.0001,12.04,<0.0001,<0.0001,<0.0001,0
1503,Primary Malignancy_Colorectal Cholelithiasis,Primary Malignancy_Colorectal,Cholelithiasis,1.36,1.33,1.4,<0.0001,4.4,0.04,<0.0001,<0.0001,0
1504,Gastritis and duodeniti Hearing loss,Gastritis and duodeniti,Hearing loss,1.36,1.35,1.38,<0.0001,147.3,<0.0001,<0.0001,<0.0001,0
1505,Ulcerative colitis Polymyalgia Rheumatica,Ulcerative colitis,Polymyalgia Rheumatica,1.36,1.28,1.45,<0.0001,0,0.96,<0.0001,<0.0001,0
1506,Spondylolisthesis Abdominal aortic aneurysm,Spondylolisthesis,Abdominal aortic aneurysm,1.36,1.21,1.53,<0.0001,1.18,0.28,<0.0001,<0.0001,0
1507,Primary Malignancy_Bladder Thromboembolic,Primary Malignancy_Bladder,Thromboembolic,1.37,1.3,1.43,<0.0001,1.68,0.19,<0.0001,<0.0001,0
1508,Hypertension Alcohol Problems,Hypertension,Alcohol Problems,1.37,1.35,1.38,<0.0001,56.22,<0.0001,<0.0001,<0.0001,0
1509,Allergic and chronic rhinitis Spondylolisthesis,Allergic and chronic rhinitis,Spondylolisthesis,1.37,1.33,1.41,<0.0001,6.73,0.01,<0.0001,<0.0001,0
1510,Coronary Heart Disease Cataract,Coronary Heart Disease,Cataract,1.37,1.36,1.38,<0.0001,406.6,<0.0001,<0.0001,<0.0001,0
1511,Glaucoma Diabetes type 2,Glaucoma,Diabetes type 2,1.37,1.35,1.38,<0.0001,168.83,<0.0001,<0.0001,<0.0001,0
1512,Rheumatoid Arthritis Chronic kidney disease,Rheumatoid Arthritis,Chronic kidney disease,1.37,1.34,1.4,<0.0001,59.29,<0.0001,<0.0001,<0.0001,0
1513,Insomnia Asthma,Insomnia,Asthma,1.37,1.35,1.38,<0.0001,277.93,<0.0001,<0.0001,<0.0001,0
1514,Gastritis and duodeniti All stroke,Gastritis and duodeniti,All stroke,1.37,1.35,1.39,<0.0001,28.99,<0.0001,<0.0001,<0.0001,0
1515,Diverticular disease of intestine (acute and chronic) Hearing loss,Diverticular disease of intestine (acute and chronic),Hearing loss,1.37,1.36,1.38,<0.0001,69.21,<0.0001,<0.0001,<0.0001,0
1516,Coronary Heart Disease Insomnia,Coronary Heart Disease,Insomnia,1.37,1.35,1.38,<0.0001,372.5,<0.0001,<0.0001,<0.0001,0
1517,Cholelithiasis Enthesopathies of the lower body,Cholelithiasis,Enthesopathies of the lower body,1.37,1.35,1.39,<0.0001,58.66,<0.0001,<0.0001,<0.0001,0
1518,Ulcerative colitis Psoriasis,Ulcerative colitis,Psoriasis,1.37,1.31,1.43,<0.0001,0.88,0.35,<0.0001,<0.0001,0
1519,Intervertebral disc disorders Abdominal aortic aneurysm,Intervertebral disc disorders,Abdominal aortic aneurysm,1.37,1.31,1.43,<0.0001,1.89,0.17,<0.0001,<0.0001,0
1520,Fibromatoses Erectile dysfunction,Fibromatoses,Erectile dysfunction,1.37,1.34,1.4,<0.0001,3.46,0.06,<0.0001,<0.0001,0
1521,Chronic sinusitis Peptic ulcer disease,Chronic sinusitis,Peptic ulcer disease,1.37,1.34,1.4,<0.0001,2.12,0.15,<0.0001,<0.0001,0
1522,Chronic sinusitis Polymyalgia Rheumatica,Chronic sinusitis,Polymyalgia Rheumatica,1.37,1.34,1.4,<0.0001,1.18,0.28,<0.0001,<0.0001,0
1523,Depression Abdominal aortic aneurysm,Depression,Abdominal aortic aneurysm,1.37,1.33,1.42,<0.0001,3.18,0.07,<0.0001,<0.0001,0
1524,All stroke Obesity,All stroke,Obesity,1.37,1.35,1.39,<0.0001,182.02,<0.0001,<0.0001,<0.0001,0
1525,Heart failure Cataract,Heart failure,Cataract,1.37,1.36,1.39,<0.0001,367.37,<0.0001,<0.0001,<0.0001,0
1526,Heart failure Diverticular disease of intestine (acute and chronic),Heart failure,Diverticular disease of intestine (acute and chronic),1.37,1.36,1.39,<0.0001,60.34,<0.0001,<0.0001,<0.0001,0
1527,Vitamin B12 deficiency anaemia Spondylosis,Vitamin B12 deficiency anaemia,Spondylosis,1.37,1.35,1.39,<0.0001,123.61,<0.0001,<0.0001,<0.0001,0
1528,Coronary Heart Disease Hyperthyroidism (without hypo),Coronary Heart Disease,Hyperthyroidism (without hypo),1.37,1.34,1.41,<0.0001,16.32,<0.0001,<0.0001,<0.0001,0
1529,Psoriasis Peripheral arterial disease,Psoriasis,Peripheral arterial disease,1.37,1.34,1.41,<0.0001,7.49,0.01,<0.0001,<0.0001,0
1530,Polymyalgia Rheumatica Hypothyroidism (without hyper),Polymyalgia Rheumatica,Hypothyroidism (without hyper),1.37,1.35,1.4,<0.0001,12.59,<0.0001,<0.0001,<0.0001,0
1531,Hearing loss Depression,Hearing loss,Depression,1.38,1.37,1.38,<0.0001,111.12,<0.0001,<0.0001,<0.0001,0
1532,Depression Hyperplasia of prostate,Depression,Hyperplasia of prostate,1.38,1.36,1.39,<0.0001,22.54,<0.0001,<0.0001,<0.0001,0
1533,Intervertebral disc disorders Nonrheumatic valve disease,Intervertebral disc disorders,Nonrheumatic valve disease,1.38,1.35,1.4,<0.0001,9.47,<0.0001,<0.0001,<0.0001,0
1534,Thromboembolic Osteoporosis,Thromboembolic,Osteoporosis,1.38,1.35,1.4,<0.0001,30.63,<0.0001,<0.0001,<0.0001,0
1535,Diverticular disease of intestine (acute and chronic) Gout,Diverticular disease of intestine (acute and chronic),Gout,1.38,1.36,1.39,<0.0001,105.91,<0.0001,<0.0001,<0.0001,0
1536,Insomnia Transient ischaemic attack,Insomnia,Transient ischaemic attack,1.38,1.35,1.4,<0.0001,23.28,<0.0001,<0.0001,<0.0001,0
1537,Retinal detachments and breaks Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes),Retinal detachments and breaks,Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes),1.38,1.32,1.43,<0.0001,0.01,0.91,<0.0001,<0.0001,0
1538,COPD Ischaemic stroke and TIA,COPD,Ischaemic stroke and TIA,1.38,1.36,1.4,<0.0001,6.21,0.01,<0.0001,<0.0001,0
1539,Vitamin B12 deficiency anaemia Osteoarthritis (excl spine),Vitamin B12 deficiency anaemia,Osteoarthritis (excl spine),1.38,1.36,1.39,<0.0001,129.93,<0.0001,<0.0001,<0.0001,0
1540,Tinnitus Diverticular disease of intestine (acute and chronic),Tinnitus,Diverticular disease of intestine (acute and chronic),1.38,1.36,1.4,<0.0001,42.5,<0.0001,<0.0001,<0.0001,0
1541,Cholelithiasis Chronic kidney disease,Cholelithiasis,Chronic kidney disease,1.38,1.36,1.39,<0.0001,136.25,<0.0001,<0.0001,<0.0001,0
1542,Diabetes type 2 Urolithiasis,Diabetes type 2,Urolithiasis,1.38,1.36,1.4,<0.0001,632.31,<0.0001,<0.0001,<0.0001,0
1543,Asthma Rheumatoid Arthritis,Asthma,Rheumatoid Arthritis,1.38,1.35,1.41,<0.0001,0.94,0.33,<0.0001,<0.0001,0
1544,Enthesopathies of the upper body Asthma,Enthesopathies of the upper body,Asthma,1.38,1.37,1.39,<0.0001,15.89,<0.0001,<0.0001,<0.0001,0
1545,Gastritis and duodeniti Diabetes type 2,Gastritis and duodeniti,Diabetes type 2,1.38,1.37,1.39,<0.0001,291.1,<0.0001,<0.0001,<0.0001,0
1546,Anxiety disorders Osteoarthritis (excl spine),Anxiety disorders,Osteoarthritis (excl spine),1.38,1.37,1.39,<0.0001,3.2,0.07,<0.0001,<0.0001,0
1547,Cataract Osteoarthritis (excl spine),Cataract,Osteoarthritis (excl spine),1.38,1.37,1.39,<0.0001,34.17,<0.0001,<0.0001,<0.0001,0
