"","p1","p2","rg","rg_lci","rg_uci","rg_se","rg_p","rg_p_fdr_heatmap","p_fdr_scatter","p1_icd_chapter_name","p2_icd_chapter_name","p1_data_sources","p2_data_sources","within_domain"
"1307","Gastro-oesophageal reflux disease","Cataract",0.16,0.11,0.2,0.02,"<0.0001","<0.0001","<0.0001","Diseases of the digestive system","Diseases of the eye and adnexa","2, 3","1, 2",0
"1308","Insomnia","Allergic and chronic rhinitis",0.25,0.09,0.4,0.08,"<0.0001","<0.0001","<0.0001","Diseases of the nervous system","Diseases of the respiratory system","1","1, 2",0
"1309","Insomnia","Obesity",0.2,0.1,0.29,0.05,"<0.0001","<0.0001","<0.0001","Diseases of the nervous system","Endocrine, nutritional and metabolic diseases","1","1, 2",0
"1310","Psoriasis","Diverticular disease of intestine (acute and chronic)",0.16,0.09,0.22,0.03,"<0.0001","<0.0001","<0.0001","Diseases of the skin and subcutaneous tissue","Diseases of the digestive system","1, 2","1, 2",0
"1311","Essential tremor","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)",0.16,-0.04,0.35,0.1,"0.11","0.15","0.15","Diseases of the nervous system","Diseases of the nervous system","1","1",1
"1312","Insomnia","Psoriasis",0.18,0.02,0.33,0.08,"0.03","0.04","0.04","Diseases of the nervous system","Diseases of the skin and subcutaneous tissue","1","1, 2",0
"1313","Diabetes type 2","Depression",0.16,0.12,0.19,0.02,"<0.0001","<0.0001","<0.0001","Endocrine, nutritional and metabolic diseases","Mental and behavioural disorders","2, 3","3",0
"1314","Insomnia","Cataract",0.16,0.05,0.28,0.06,"0.01","0.01","0.01","Diseases of the nervous system","Diseases of the eye and adnexa","1","1, 2",0
"1315","Insomnia","Female genital prolapse",0.15,0.03,0.26,0.06,"0.01","0.02","0.02","Diseases of the nervous system","Diseases of the genitourinary system","1","1, 2",0
"1316","Asthma","Female genital prolapse",0.15,0.1,0.21,0.03,"<0.0001","<0.0001","<0.0001","Diseases of the respiratory system","Diseases of the genitourinary system","2, 3","1, 2",0
"1317","Insomnia","Hyperplasia of prostate",0.14,0.01,0.26,0.06,"0.03","0.05","0.05","Diseases of the nervous system","Diseases of the genitourinary system","1","1, 2",0
"1318","Diabetes type 2","Cataract",0.15,0.11,0.2,0.02,"<0.0001","<0.0001","<0.0001","Endocrine, nutritional and metabolic diseases","Diseases of the eye and adnexa","2, 3","1, 2",0
"1319","Anxiety disorders","Obesity",0.15,0.1,0.2,0.03,"<0.0001","<0.0001","<0.0001","Mental and behavioural disorders","Endocrine, nutritional and metabolic diseases","1, 2","1, 2",0
"1320","Insomnia","Diabetes type 2",0.13,0.04,0.22,0.04,"<0.0001","0.01","0.01","Diseases of the nervous system","Endocrine, nutritional and metabolic diseases","1","2, 3",0
"1321","Intervertebral disc disorders","Abdominal aortic aneurysm",0.17,0.09,0.26,0.04,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Diseases of the circulatory system","1, 2","1, 2",0
"1322","Anxiety disorders","Thromboembolic",0.15,0.08,0.22,0.04,"<0.0001","<0.0001","<0.0001","Mental and behavioural disorders","Diseases of the circulatory system","1, 2","1, 2",0
"1323","Hyperthyroidism (without hypo)","Gastro-oesophageal reflux disease",0.15,0.08,0.22,0.04,"<0.0001","<0.0001","<0.0001","Endocrine, nutritional and metabolic diseases","Diseases of the digestive system","1, 2","2, 3",0
"1324","Vitamin B12 deficiency anaemia","Alcohol Problems",0.15,-0.03,0.34,0.1,"0.11","0.15","0.15","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","Mental and behavioural disorders","1","1",0
"1325","Intervertebral disc disorders","Tinnitus",0.17,0.07,0.27,0.05,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Diseases of the ear and mastoid process","1, 2","1, 2",0
"1326","Intervertebral disc disorders","Cataract",0.12,0.06,0.17,0.03,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Diseases of the eye and adnexa","1, 2","1, 2",0
"1327","Abdominal aortic aneurysm","Atrial fibrillation",0.15,0.08,0.23,0.04,"<0.0001","<0.0001","<0.0001","Diseases of the circulatory system","Diseases of the circulatory system","1, 2","2, 3",1
"1328","Ulcerative colitis","Osteoporosis",0.15,0.08,0.22,0.04,"<0.0001","<0.0001","<0.0001","Diseases of the digestive system","Diseases of the musculoskeletal system and connective tissue","1, 2, 3","1",0
"1329","Hypothyroidism (without hyper)","Gout",0.15,0.1,0.2,0.03,"<0.0001","<0.0001","<0.0001","Endocrine, nutritional and metabolic diseases","Diseases of the musculoskeletal system and connective tissue","1, 2","1, 2, 3",0
"1330","Atrial fibrillation","Cholelithiasis",0.15,0.11,0.2,0.02,"<0.0001","<0.0001","<0.0001","Diseases of the circulatory system","Diseases of the digestive system","2, 3","1, 2",0
"1331","Iron deficiency anaemia","Insomnia",0.34,0.15,0.53,0.1,"<0.0001","<0.0001","<0.0001","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","Diseases of the nervous system","1","1",0
"1332","Iron deficiency anaemia","Atrial fibrillation",0.15,0.08,0.22,0.04,"<0.0001","<0.0001","<0.0001","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","Diseases of the circulatory system","1","2, 3",0
"1333","Anxiety disorders","Heart failure",0.15,0.08,0.22,0.04,"<0.0001","<0.0001","<0.0001","Mental and behavioural disorders","Diseases of the circulatory system","1, 2","2, 3",0
"1334","Hypothyroidism (without hyper)","Hypertension",0.15,0.09,0.21,0.03,"<0.0001","<0.0001","<0.0001","Endocrine, nutritional and metabolic diseases","Diseases of the circulatory system","1, 2","1, 2",0
"1335","Primary Malignancy_Other Skin and subcutaneous tissue","Primary Malignancy_Breast",0.15,0.1,0.21,0.03,"<0.0001","<0.0001","<0.0001","Neoplasms","Neoplasms","1, 2","2, 3",1
"1336","Iron deficiency anaemia","Spondylolisthesis",0.26,0.06,0.46,0.1,"0.01","0.02","0.02","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","Diseases of the musculoskeletal system and connective tissue","1","1",0
"1337","Erectile dysfunction","Abdominal aortic aneurysm",0.15,-0.01,0.31,0.08,"0.06","0.09","0.09","Diseases of the genitourinary system","Diseases of the circulatory system","1","1, 2",0
"1338","Iron deficiency anaemia","Scoliosis",0.25,0.1,0.4,0.08,"<0.0001","<0.0001","<0.0001","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","Diseases of the musculoskeletal system and connective tissue","1","1, 2",0
"1339","Primary Malignancy_Prostate","Primary Malignancy_Other Skin and subcutaneous tissue",0.15,0.08,0.22,0.04,"<0.0001","<0.0001","<0.0001","Neoplasms","Neoplasms","1, 2","1, 2",1
"1340","Iron deficiency anaemia","Hypothyroidism (without hyper)",0.24,0.1,0.37,0.07,"<0.0001","<0.0001","<0.0001","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","Endocrine, nutritional and metabolic diseases","1","1, 2",0
"1341","Iron deficiency anaemia","Enthesopathies of the upper body",0.21,0.09,0.34,0.06,"<0.0001","<0.0001","<0.0001","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","Diseases of the musculoskeletal system and connective tissue","1","1",0
"1342","Iron deficiency anaemia","Osteoporosis",0.21,0.07,0.34,0.07,"<0.0001","<0.0001","<0.0001","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","Diseases of the musculoskeletal system and connective tissue","1","1",0
"1343","Migraine","Hearing loss",0.15,0.09,0.21,0.03,"<0.0001","<0.0001","<0.0001","Diseases of the nervous system","Diseases of the ear and mastoid process","1, 2, 3","3",0
"1344","Tinnitus","Rheumatoid Arthritis",0.15,0.01,0.29,0.07,"0.03","0.05","0.05","Diseases of the ear and mastoid process","Diseases of the musculoskeletal system and connective tissue","1, 2","3",0
"1345","Vitamin B12 deficiency anaemia","Chronic kidney disease",0.15,0.01,0.29,0.07,"0.04","0.05","0.05","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","Diseases of the genitourinary system","1","1, 3",0
"1346","Iron deficiency anaemia","Cataract",0.19,0.09,0.28,0.05,"<0.0001","<0.0001","<0.0001","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","Diseases of the eye and adnexa","1","1, 2",0
"1347","Migraine","Obesity",0.15,0.1,0.2,0.03,"<0.0001","<0.0001","<0.0001","Diseases of the nervous system","Endocrine, nutritional and metabolic diseases","1, 2, 3","1, 2",0
"1348","Enthesopathies of the upper body","Osteoporosis",0.15,0.06,0.24,0.05,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Diseases of the musculoskeletal system and connective tissue","1","1",1
"1349","Iron deficiency anaemia","Female genital prolapse",0.18,0.09,0.28,0.05,"<0.0001","<0.0001","<0.0001","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","Diseases of the genitourinary system","1","1, 2",0
"1350","Psoriasis","Spondylolisthesis",0.15,-0.01,0.31,0.08,"0.06","0.09","0.09","Diseases of the skin and subcutaneous tissue","Diseases of the musculoskeletal system and connective tissue","1, 2","1",0
"1351","Cholelithiasis","Anxiety disorders",0.15,0.1,0.2,0.03,"<0.0001","<0.0001","<0.0001","Diseases of the digestive system","Mental and behavioural disorders","1, 2","1, 2",0
"1352","Iron deficiency anaemia","Cholelithiasis",0.18,0.05,0.3,0.06,"0.01","0.01","0.01","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","Diseases of the digestive system","1","1, 2",0
"1353","Iron deficiency anaemia","Chronic kidney disease",0.17,0.04,0.3,0.07,"0.01","0.02","0.02","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","Diseases of the genitourinary system","1","1, 3",0
"1354","Psoriasis","Primary Malignancy_Bladder",0.15,-0.01,0.31,0.08,"0.06","0.09","0.09","Diseases of the skin and subcutaneous tissue","Neoplasms","1, 2","1",0
"1355","Chronic kidney disease","Erectile dysfunction",0.15,0.03,0.27,0.06,"0.01","0.02","0.02","Diseases of the genitourinary system","Diseases of the genitourinary system","1, 3","1",1
"1356","Iron deficiency anaemia","Ulcerative colitis",0.16,0.06,0.26,0.05,"<0.0001","<0.0001","<0.0001","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","Diseases of the digestive system","1","1, 2, 3",0
"1357","Irritable bowel syndrome","Vitamin B12 deficiency anaemia",0.47,0.22,0.72,0.13,"<0.0001","<0.0001","<0.0001","Diseases of the digestive system","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","2, 3","1",0
"1358","Anxiety disorders","Ulcerative colitis",0.15,0.09,0.21,0.03,"<0.0001","<0.0001","<0.0001","Mental and behavioural disorders","Diseases of the digestive system","1, 2","1, 2, 3",0
"1359","Cataract","Enthesopathies of the shoulder",0.15,0.09,0.2,0.03,"<0.0001","<0.0001","<0.0001","Diseases of the eye and adnexa","Diseases of the musculoskeletal system and connective tissue","1, 2","1, 2",0
"1360","Fibromyalgia","Polymyalgia Rheumatica",0.15,-0.09,0.39,0.12,"0.23","0.3","0.3","Diseases of the musculoskeletal system and connective tissue","Diseases of the musculoskeletal system and connective tissue","1","1",1
"1361","Tinnitus","Peptic ulcer disease",0.15,-0.01,0.3,0.08,"0.06","0.09","0.09","Diseases of the ear and mastoid process","Diseases of the digestive system","1, 2","1, 2",0
"1362","Essential tremor","Sleep apnoea",0.15,0.04,0.25,0.05,"0.01","0.01","0.01","Diseases of the nervous system","Diseases of the nervous system","1","1, 2",1
"1363","Raynaud's syndrome","Erectile dysfunction",0.15,-0.09,0.39,0.12,"0.23","0.3","0.3","Diseases of the circulatory system","Diseases of the genitourinary system","1","1",0
"1364","Irritable bowel syndrome","Peripheral arterial disease",0.4,0.12,0.68,0.14,"0.01","0.01","0.01","Diseases of the digestive system","Diseases of the circulatory system","2, 3","1",0
"1365","Irritable bowel syndrome","Iron deficiency anaemia",0.39,0.17,0.62,0.12,"<0.0001","<0.0001","<0.0001","Diseases of the digestive system","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","2, 3","1",0
"1366","Irritable bowel syndrome","Ischaemic stroke and TIA",0.36,0.12,0.61,0.12,"<0.0001","0.01","0.01","Diseases of the digestive system","Diseases of the circulatory system","2, 3","1",0
"1367","Chronic sinusitis","Thromboembolic",0.15,0.01,0.28,0.07,"0.03","0.05","0.05","Diseases of the respiratory system","Diseases of the circulatory system","1","1, 2",0
"1368","Female genital prolapse","Hypertension",0.15,0.1,0.19,0.02,"<0.0001","<0.0001","<0.0001","Diseases of the genitourinary system","Diseases of the circulatory system","1, 2","1, 2",0
"1369","Irritable bowel syndrome","Transient ischaemic attack",0.34,0.15,0.52,0.09,"<0.0001","<0.0001","<0.0001","Diseases of the digestive system","Diseases of the circulatory system","2, 3","1, 2",0
"1370","Spondylosis","Gout",0.15,0.08,0.21,0.03,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Diseases of the musculoskeletal system and connective tissue","1","1, 2, 3",1
"1371","Irritable bowel syndrome","Scoliosis",0.34,0.13,0.54,0.1,"<0.0001","<0.0001","<0.0001","Diseases of the digestive system","Diseases of the musculoskeletal system and connective tissue","2, 3","1, 2",0
"1372","Primary Malignancy_Other Skin and subcutaneous tissue","Primary Malignancy_Colorectal",0.15,0.07,0.23,0.04,"<0.0001","<0.0001","<0.0001","Neoplasms","Neoplasms","1, 2","1, 2",1
"1373","Nonrheumatic valve disease","Depression",0.15,0.08,0.22,0.04,"<0.0001","<0.0001","<0.0001","Diseases of the circulatory system","Mental and behavioural disorders","1, 2","3",0
"1374","Irritable bowel syndrome","Rheumatoid Arthritis",0.3,0.15,0.46,0.08,"<0.0001","<0.0001","<0.0001","Diseases of the digestive system","Diseases of the musculoskeletal system and connective tissue","2, 3","3",0
"1375","Enthesopathies of the shoulder","Urolithiasis",0.15,0.08,0.21,0.03,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Diseases of the genitourinary system","1, 2","1, 2",0
"1376","Irritable bowel syndrome","Nonrheumatic valve disease",0.26,0.09,0.42,0.09,"<0.0001","0.01","0.01","Diseases of the digestive system","Diseases of the circulatory system","2, 3","1, 2",0
"1377","Anxiety disorders","Carpal tunnel syndrome",0.15,0.09,0.2,0.03,"<0.0001","<0.0001","<0.0001","Mental and behavioural disorders","Diseases of the nervous system","1, 2","1, 2",0
"1378","Irritable bowel syndrome","All stroke",0.24,0.05,0.43,0.1,"0.01","0.02","0.02","Diseases of the digestive system","Diseases of the circulatory system","2, 3","1, 2",0
"1379","Irritable bowel syndrome","Obesity",0.2,0.1,0.31,0.05,"<0.0001","<0.0001","<0.0001","Diseases of the digestive system","Endocrine, nutritional and metabolic diseases","2, 3","1, 2",0
"1380","Irritable bowel syndrome","Primary Malignancy_Prostate",0.2,0.05,0.34,0.07,"0.01","0.01","0.01","Diseases of the digestive system","Neoplasms","2, 3","1, 2",0
"1381","Irritable bowel syndrome","Hearing loss",0.19,0.07,0.3,0.06,"<0.0001","<0.0001","<0.0001","Diseases of the digestive system","Diseases of the ear and mastoid process","2, 3","3",0
"1382","Peripheral arterial disease","Hyperthyroidism (without hypo)",0.14,-0.01,0.3,0.08,"0.06","0.09","0.09","Diseases of the circulatory system","Endocrine, nutritional and metabolic diseases","1","1, 2",0
"1383","Atrial fibrillation","Thromboembolic",0.14,0.08,0.2,0.03,"<0.0001","<0.0001","<0.0001","Diseases of the circulatory system","Diseases of the circulatory system","2, 3","1, 2",1
"1384","Hyperthyroidism (without hypo)","Diverticular disease of intestine (acute and chronic)",0.14,0.08,0.21,0.03,"<0.0001","<0.0001","<0.0001","Endocrine, nutritional and metabolic diseases","Diseases of the digestive system","1, 2","1, 2",0
"1385","Hypothyroidism (without hyper)","Diverticular disease of intestine (acute and chronic)",0.14,0.1,0.19,0.02,"<0.0001","<0.0001","<0.0001","Endocrine, nutritional and metabolic diseases","Diseases of the digestive system","1, 2","1, 2",0
"1386","Polymyalgia Rheumatica","Hyperplasia of prostate",0.14,0.01,0.28,0.07,"0.03","0.05","0.05","Diseases of the musculoskeletal system and connective tissue","Diseases of the genitourinary system","1","1, 2",0
"1387","Iron deficiency anaemia","Chronic sinusitis",0.14,-0.04,0.33,0.09,"0.13","0.17","0.17","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","Diseases of the respiratory system","1","1",0
"1388","Irritable bowel syndrome","Coronary Heart Disease",0.18,0.09,0.28,0.05,"<0.0001","<0.0001","<0.0001","Diseases of the digestive system","Diseases of the circulatory system","2, 3","2, 3",0
